dialogue,classification,translation
Maen nhw'n darllen llyfr.,welsh,They are reading a book.
Gyda pha stryd y dylem ddechrau?,welsh,Which street should we start with?
Sasha yw fy enw i.,welsh,My name is Sasha.
'Rydyn ni'n hapus.,welsh,We are happy.
Paid ag ysmygu yn y gwely!,welsh,Don't smoke in bed!
Llyfr newydd yw'r llyfr hwnnw.,welsh,That book is a new book.
Wyt ti'n byw yma?,welsh,Do you live here?
Nid oes cwrw yma.,welsh,There is no beer here.
Mae'r bachgen yn bwyta bara.,welsh,The boy is eating bread.
Mae gennyf lyfr.,welsh,I have a book.
Mae'n rhaid i mi ysgrifennu llythyr.,welsh,I have to write a letter.
Bob wythnos yr â i bysgota.,welsh,I go fishing every week.
Mae gennyf gerdyn gredid.,welsh,I have a credit card.
Mae gennych lawer o lyfrau.,welsh,You have a lot of books.
Bydd hi'n gweithio.,welsh,She will be working.
Mae Tom wedi mynd i'r gwely.,welsh,Tom has gone to bed.
Dwi'n hapus.,welsh,I'm happy.
Rydw i'n yfed llaeth.,welsh,I'm drinking milk.
Mae ganddi blodau coch.,welsh,She has red flowers.
Rwyt ti'n mynd i'r ysgol.,welsh,You're going to school.
Mae hi'n mynd i'r ysgol.,welsh,She's going to school.
"Coffi, ys gwelwch yn dda.",welsh,"Coffee, please."
'Dwi yn y tŷ.,welsh,I am in the house.
Mae Ken yn hapus.,welsh,Ken is happy.
Dw i'n hoffi siarad Cymraeg.,welsh,I like to speak Welsh.
Dw i'n hoffi siarad Cymraeg.,welsh,I like speaking Welsh.
Dw i'n hoffi coffi.,welsh,I like coffee.
"Dim problem, wrth cwrs, os chi'n mynd",welsh,Of course it's not a problem if you go.
"Dim problem, wrth cwrs, os chi'n mynd",welsh,"No problem, of course, if you're going."
Does gen i ddim amser.,welsh,I don't have time.
Does gen i ddim amser.,welsh,I have no time.
Does gen i ddim arian.,welsh,I don't have money.
Does gen i ddim arian.,welsh,I have no money.
Fy enw I yw Jack.,welsh,My name is Jack.
Mae 'na ynysoedd yn y môr.,welsh,There are islands in the sea.
Dw i'n trio dysgu Saesneg.,welsh,I'm trying to learn English.
Dw i'n chwarae yn yr ardd.,welsh,I'm playing in the garden.
Rwyt ti'n chwarae yn yr ardd.,welsh,You're playing in the garden.
Dych chi'n chwarae yn yr ardd.,welsh,You're playing in the garden.
Mae e'n chwarae yn yr ardd.,welsh,He's playing in the garden.
Mae hi'n chwarae yn yr ardd.,welsh,She's playing in the garden.
Dyn ni'n chwarae yn yr ardd.,welsh,We're playing in the garden.
Maen nhw'n chwarae yn yr ardd.,welsh,They're playing in the garden.
Dw i'n dysgu cerddoriaeth.,welsh,I'm learning music.
Mae'r pysgod yn byw yn y môr.,welsh,Fish live in the sea.
Mae'r ty yn fach,welsh,The house is small.
Mae'r pysgod yn byw yn y môr.,welsh,The fish lives in the sea.
I ble mae Tom yn mynd?,welsh,Where is Tom going?
Pwy sy'n mynd i'r farchnad?,welsh,Who goes to the market?
Be' sy'n bod gyda Tom?,welsh,What's up with Tom?
Beth mae Tom yn gwneud?,welsh,What is Tom doing?
Beth ydy Tom?,welsh,What is Tom?
Pwy ydy Tom?,welsh,Who is Tom?
Cwestiwn: Ai gi neu gath yw Cwci? Ateb: Un o rhein.,welsh,Question: Is Cookie a dog or a cat? Answer: One of those.
Dwi byth yn codi cyn saith.,welsh,I never get up before seven.
Nid Tom ydw i.,welsh,I'm not Tom.
Dw i'n hoffi Hokkaido.,welsh,I like Hokkaido.
"Ar hyn o bryd, Burj Khalifa yw'r nendwr uchaf yn y byd.",welsh,Burj Khalifa is currently the tallest skyscraper in the world.
Dw i ddim yn deall.,welsh,I don't understand.
Mae un o gŵn fy ffrind yn dew.,welsh,One of my friend's dogs is fat.
Mae swydd arall gen i.,welsh,I got another job.
Ces i swydd arall.,welsh,I got another job.
Ddyweda i byth wrth neb pwy wyt ti mewn gwirionedd.,welsh,I'll never tell anyone who you really are.
Gwyliwn.,welsh,We will watch.
Mae fy chwaer yn hoffi dawnsio.,welsh,My sister likes to dance.
Dw i'n gweithio bob dydd ond Dydd Sul.,welsh,I work every day save Sundays.
Dw i'n Wyddel.,welsh,I'm Irish.
Mae o'n medru gweld drwy gefn ei phen.,welsh,He has eyes at the back of his head.
Mae'r ci yn ddu.,welsh,The dog is black.
Defol!,welsh,Get the hell out of here!
Mae llyfr gen i.,welsh,I have a book.
Mae llyfr gen i.,welsh,I've got a book.
Mae'r athro newydd yn y dosbarth.,welsh,The new teacher is in the class.
I ble mae Tom yn mynd?,welsh,Where's Tom going?
Ble mae'r swyddfa bost?,welsh,Where's the post office?
Dŵr yw bywyd.,welsh,Water is life.
Mae'r frawddeg ddim yn wneud synnwyr.,welsh,The sentence makes no sense.
Mae rhaffau yn amgylchu'r lle.,welsh,Ropes surround the place.
Wyt ti'n mynd i chwarae pêl-droed yfory.,welsh,You are going to play football tomorrow.
Dw i'n gweld dy geffyl di.,welsh,I see your horse.
Beth yn union ydy synnwyr cyffredin?,welsh,What exactly is common sense?
Mae'r ystafell cyfarfod i lawr y grisiau.,welsh,The meeting room is downstairs.
Barlys ydy ein prif gynnyrch.,welsh,Barley is our main product.
Dydy Tom ddim yn hoffi astudio.,welsh,Tom doesn't like studying.
Welais i Tom yn rhedeg lawr y stryd.,welsh,I saw Tom running down the street.
Mae Tom yn hynod o olygus.,welsh,Tom is incredibly handsome.
Nes i newydd orffen darllen y llyfr.,welsh,I just finished reading the book.
Dylwn i ddim wedi gofyn i ti i wnaed hynny.,welsh,I shouldn't have asked you to do that.
Roeddwon i'n meddwl roeddwt ti'n cysgu.,welsh,I thought you were sleeping.
"Hwyl, Sayoko.",welsh,"Goodbye, Sayoko."
"Pwy dych chi? ""Tom dw i.""",welsh,"Who are you? ""I'm Tom."""
"Sut dych chi, Tom?",welsh,"How are you, Tom?"
Diolch!,welsh,Thank you!
Dw i'n hoffi dawnsio gyda Maria,welsh,I like dancing with Maria.
Ble mae'r tamponau?,welsh,Where are the tampons?
Torrodd Tom ei ffêr,welsh,Tom broke his ankle.
Tom yw fy unig blentyn.,welsh,Tom is my only child.
Mae'r llawr yn llithrig iawn,welsh,The floor is very slippery.
"Mae Tom yn byw yn Boston, hefyd.",welsh,"Tom lives in Boston, too."
Doedd neb yn gwybod.,welsh,No one knew.
Mae blas chwerw i'r coffi hwn.,welsh,This coffee has a bitter taste.
Mae gan y coffi hwn flas chwerw.,welsh,This coffee has a bitter taste.
Hwyl fawr a phob lwc.,welsh,Goodbye and good luck.
Nofiodd Tom gyda'i fab.,welsh,Tom swam with his son.
Dydy hi ddim yn rhy anodd i ddysgu Ffrangeg.,welsh,It's not too hard to learn French.
Roedd hi'n oer tu allan.,welsh,It was cold outside.
Mae'r bwrdd yn yr ystafell fyw.,welsh,The table is in the living room.
Dw i eisiau dysgu sut i chwarae gwyddbwyll.,welsh,I want to learn how to play chess.
Rhoddodd Mary ei chyfeiriad i mi.,welsh,Mary gave me her address.
Beth yw'r gwahaniaeth rhwng pentref a dinas?,welsh,What's the difference between a village and a city?
Ble mae Rhufain?,welsh,Where is Rome?
Mae fy nhad fel ffrind i mi.,welsh,My father is like a friend to me.
Ydy Tom a Mary yn cofio unrhyw beth?,welsh,Do Tom and Mary remember anything?
Dw i methu yfed coffi heb siwgr.,welsh,I can't drink coffee without sugar.
Dw i ddim yn gallu yfed coffi heb siwgr.,welsh,I can't drink coffee without sugar.
Dwyt ti ddim yn fy ngharu i.,welsh,You don't love me.
Mae Tom yn astudio.,welsh,Tom's studying.
Roedd hi eisiau bod yn athrawes.,welsh,She wanted to be a teacher.
Rwyt ti'n hŷn na fi.,welsh,You're older than me.
Diolch am edrych ar ôl y plant.,welsh,Thanks for taking care of the kids.
Rydyn ni angen prynu anrheg iddyn nhw.,welsh,We need to buy a gift for them.
Pa het wyt ti'n hoffi?,welsh,What hat do you like?
Dw i ddim yn hoffi pobl.,welsh,I dislike people.
Beth?,welsh,What?
Pam?,welsh,Why?
Wyt ti'n hoffi cathod?,welsh,Do you like cats?
Dw i'n prynu bara.,welsh,I'm buying bread.
Mae fy nghariad yn crio.,welsh,My beloved is crying.
Roedd y plant yn chwarae yn y parc.,welsh,The children were playing in the park.
Faint o'r gloch yw hi?,welsh,What time is it?
Mae Eliza yn crio.,welsh,Eliza is crying.
Ble mae'r gath?,welsh,Where's the cat?
Ydy o'n yfed coffi?,welsh,Does he drink coffee?
Dw i'n meddwl dy fod ti'n gallu ei wnaed o.,welsh,I think you can do it.
O'r diwedd!,welsh,Finally!
"Mae hi'n honni bod hi'n gwybod dim byd amdano fe, ond dw i ddim yn ei chredu hi.",welsh,"She claims that she knows nothing about him, but I don't believe her."
Mae hi'n honni bod hi'n gwybod dim byd amdano fe.,welsh,She claims that she knows nothing about him.
Athrawes dych chi?,welsh,Are you a teacher?
Dw i'n mwynhau gweithio mewn siop.,welsh,I enjoy working in a shop.
Rydyn ni wedi gwylio'r ffilm 'ma dwywaith.,welsh,We've watched this film two times.
Trydanwr mewn theatr dych chi?,welsh,Are you an electrician in a theater?
Dw i mewn drama.,welsh,I am in a play.
Gŵr tŷ dw i.,welsh,I am a house-husband.
Gwraig tŷ dw i.,welsh,I am a housewife.
Siopwr dw i.,welsh,I am a shopkeeper.
Heddwas dych chi?,welsh,Are you a police officer?
Nos da.,welsh,Good night.
Dych chi'n gwisgo menig?,welsh,Are you wearing gloves?
Dw i'n gwisgo esgidiau.,welsh,I am wearing shoes.
"Sut dych chi, Dylan?",welsh,"How are you, Dylan?"
"Sut dych chi, Draig?",welsh,"How are you, Dragon?"
Dw i'n yfed te.,welsh,I drink tea.
Dw i'n bwyta selsig.,welsh,I'm eating sausages.
Dw i'n hoffi selsig.,welsh,I like sausages.
Dw i'n hoffi cennin.,welsh,I like leeks.
Dw i'n hoffi cennin a selsig.,welsh,I like leeks and sausages.
Dw i'n bwyta bara.,welsh,I am eating bread.
Tybed wyt ti'n gwybod sut i wneud hynny.,welsh,I suppose you know how to do that.
Dw i'n gweithio fel ysgrifenyddes ar fferm.,welsh,I work as a secretary on a farm.
Dw i'n gweithio mewn ysgol Gymraeg.,welsh,I work in a Welsh school.
Athro di-waith dw i.,welsh,I am an unemployed teacher.
Ysgrifennydd dw i.,welsh,I'm a secretary.
Actor Cymraeg mewn theatr dw i.,welsh,I am a Welsh-speaking actor in a theatre.
Beth wyt ti’n wneud?,welsh,What are you doing?
Beth ydych chi’n wneud?,welsh,What are you doing?
Ble wyt ti’n mynd nawr?,welsh,Where are you going now?
Dych chi'n peintio'r llawr?,welsh,Are you painting the floor?
Dych chi'n gweithio mewn tre?,welsh,Do you work in a town?
Cewch wared ohoni hi.,welsh,Get rid of her.
Peidiwch â gadael iddi hi ddianc!,welsh,Don't let her escape!
Peidiwch â gadael iddo fo ddianc.,welsh,Don't let him get away.
Mae'n oer iawn nawr.,welsh,It's very cold now.
"Mae Layla yn fam i chwech, yn byw yn ne dwyrain Lloegr.",welsh,"Layla is a mother of six, living in the south west of England."
"Rhaid i ni benderfynu, ac yn fuan!",welsh,"We have to decide, and soon!"
Ydi hwn eich archwiliad cyntaf?,welsh,Is this your first examination?
"Esgusodwch fi, ond pwy ydych chi?",welsh,"Please, who are you?"
"Esgusodwch fi, ond o ble ydych chi'n dod?",welsh,"Please, where are you from?"
O ble ydych chi wedi dod?,welsh,Where have you come from?
Elli di gerdded?,welsh,Can you walk?
Mae hi'n dweud ei bod hi'n unig.,welsh,She says that she's lonely.
Rhaid bod chi wedi'ch cynhyrfu.,welsh,You must be pretty upset.
Dwi eisiau bwyta losin Siapaneaidd.,welsh,I want to eat Japanese sweets.
Dwi wedi blino'n racs.,welsh,I am exhausted.
Gofynodd Tom i Mari beidio mynd ar ei phen ei hun.,welsh,Tom asked Mary not to go alone.
Bwydodd o ei gi ar yr un pryd bob dydd.,welsh,He fed his dog at the same time every day.
Mae'r ffilm yn dechrau mewn pum munud.,welsh,The movie starts in five minutes.
"A beth ydych chi'n yfed? ""Cwrw, os oes gen i, neu ddŵr os nad oes gen i gwrw."" ""'Tydych chi ddim yn yfed gwin?""",welsh,"And what do you drink? ""Ale if I have it, or water if I don't have ale."" ""Don't you drink wine?"""
Cwynodd neb.,welsh,Nobody complained.
Dywedodd Mari a wnaeth hi feddwl na fyddai Tomos yn gwneud hynny yfory.,welsh,Mary said she thought that Tom wouldn't do that tomorrow.
Does gennym ni ddim byd i'w trafod.,welsh,We have nothing to discuss.
Nid yw Cymru ar Werth.,welsh,Wales is not for sale.
Nid fel hyn y dylai pethau fod.,welsh,Things shouldn't be like this.
Fel arall y dylai hi fod.,welsh,It should be the other way round.
Mae’n hollol warthus.,welsh,It's completely disgraceful.
Mae o wedi marw yn y fan a’r lle.,welsh,He died on the spot.
Mae o'n gwneud mor â mynydd o bethau.,welsh,He's making a mountain out of a molehill.
Pam wyt ti'n drist?,welsh,Why are you sad?
Faint o bres oes gen ti?,welsh,How much money do you have?
Faint o arian oes gyda ti?,welsh,How much money do you have?
Faint o bres 'sgen ti?,welsh,How much money do you have?
Rhaid bod nhw o'u cof.,welsh,They must be mad.
Dwi'n meddwl dwi am fynd adre.,welsh,I think it's time I went home.
Dwi am fynd draw i weld Tomas.,welsh,I want to go round to see Tom.
Mae arna' i gymaint o ofn.,welsh,I am so afraid.
Dwi i'n methu cysgu rwan.,welsh,I can't sleep now.
Dylai fo ddangos parch i mi.,welsh,He should show me respect.
Dwi eisiau i chi fy mharchu i,welsh,I want your respect.
Mae'n rhaid dangos parch.,welsh,You must show respect.
"Ty'd ymlaen, ti'n tynnu fy nghoes.",welsh,"Come on, you're pulling my leg."
Peidiwch â gwneud sŵn.,welsh,Don't make noise.
Dywedais wrth Tomas.,welsh,I told Tom.
Mae hi'n bwrw hen wragedd a ffyn.,welsh,It's raining cats and dogs.
Mae hi'n bwrw cyllyll a ffyrc.,welsh,It's raining cats and dogs.
Mi wyt ti'n tynnu fy nghoes.,welsh,You're pulling my leg.
Dwi'n meddwl dy fod ti'n tynnu fy nghoes.,welsh,I think you're pulling my leg.
Mae hi'n studo bwrw.,welsh,It's raining cats and dogs.
Mae hi'n piso bwrw.,welsh,It's pissing down.
Mae hi'n piso bwrw.,welsh,It's pissing with rain.
Mae hi'n chwipio bwrw.,welsh,It's lashing.
Mae barcut yn hedfan uwch ben y goeden.,welsh,There is a kite flying above the tree.
Cadwch y wers hon yn y cof.,welsh,Keep this lesson in mind.
Paid â gadael i Tom dy frathu di.,welsh,Don't let Tom bite you.
Paid â gadael i Tom redeg.,welsh,Don't let Tom run.
Dw i'n braf.,welsh,I'm fine.
Dwi’n dda iawn.,welsh,I'm very good.
Nos Da.,welsh,Goodnight.
Rydyn ni'n yfed gormod.,welsh,We drink too much.
Dydw i ddim yn siarad Swedeg.,welsh,I don't speak Swedish.
Dw i'n hoffi pys.,welsh,I like peas.
Mae gwallt arian/gwyn yn ffasiynol iawn ar hyn o bryd.,welsh,Silver hair is very fashionable at the moment.
Mae lliwio gwallt yn dipyn o ymrwymiad.,welsh,Dyeing your hair is a big commitment.
Dwi am fynd am dro bach.,welsh,I am going to take a short walk.
Roedd fy mab yn hollol foel pan gafodd ei eni.,welsh,My son was completely bald when he was born.
Organeb gyda chelloedd cymhleth yw ewcaryot.,welsh,Organisms with complex cells are eukaryotes.
O ble felly daeth ein cochyn bach ni?,welsh,So where have the red-headed children gone to?
Mae'r ewcaryotau'n ffurfio un o'r tri pharth o organebau byw.,welsh,Eukaryotes make up one of the three groups of living organisms.
Mae dyn yn cerdded 200 milltir i brotestio yn erbyn Brexit.,welsh,A man has walked 200 miles in protest of Brexit.
Defnyddir system o'r enw 'Tacsonomeg Linnaeaidd' i ddosbarthu organebau mewn grwpiau.,welsh,We use a system called the 'Linnaean Taxonomic' to class organisms into groups.
"Dosberthir meysydd gwyddoniaeth yn ddau brif grŵp: gwyddorau naturiol, a gwyddorau cymdeithasol.",welsh,The areas of science can be put into two general groups: natural sciences and social sciences.
Mae'n bosib gweld trefn yr elfennau yn y Tabl Cyfnodol sy'n dangos y nifer o brotonau sydd gan bob un a beth yw pwysau atomau'r elfen honno gan ddefnyddio Rhif Avogadro.,welsh,"It is possible to see the order of the elements in the Periodic Table, which shows the number of protons in each of them, with which you can calculate the number of atoms in the element using Avogadro's number."
Dwi'n falch eich bod chi dros eich annwyd.,welsh,I am glad you're over your cold.
Dwi'n falch eich bod chi dros eich annwyd.,welsh,I'm glad you're over your cold.
"Yng Nghymru, mae'n orfodol i fyfyrwyr ysgol astudio cemeg hyd at lefel TGAU (16 oed).",welsh,"In Wales, it is compulsory for students to study chemistry at GCSE level (16 years old)."
"Mae ei symudiad rhydd yn wahanol iawn i lawer brimatau eraill, yn enwedig yng nghymal yr ysgwydd.",welsh,"Their movement is very different from other primates, in particular in the shoulder joint."
Nid yw'r ddau fath o fwnci yn perthyn yn arbennig o agos i'w gilydd.,welsh,The two types of monkeys are not particularly related to each other.
Mae o'n siarad Saesneg.,welsh,He is speaking English.
Heb amau.,welsh,Without a doubt.
Llongyfarchiadau!,welsh,Congratulations!
Mae'r plant yn oer.,welsh,The children are cold.
Doedd Tom ddim yn ymddangos newynog.,welsh,Tom didn't seem hungry.
Mae Tom yn rhy ifanc i briodi.,welsh,Tom is too young to get married.
"Wyt ti'n gallu siarad yn arafach, os gwelwch yn dda?",welsh,Could you please speak more slowly?
Aeth Layla gyda Sami.,welsh,Layla went with Sami.
Mae Tom yn dawelach na Mary.,welsh,Tom is quieter than Mary.
Cyfarfu Tom â Mary yn ysgol.,welsh,Tom met Mary at school.
Mae Tinhinane yn caru Amayas.,welsh,Tinhinane loves Amayas.
Beth wyt ti'n gwneud yn yr atig?,welsh,What are you doing in the attic?
Mae wyth aelod o deulu wnaeth gyflenwi Casnewydd â gwerth hyd at £2.5m o gyffuriau wedi cael eu carcharu.,welsh,The eight family members who had supplied Newport with up to 2.5 million pounds worth of drugs have been imprisoned.
Pwy o Gymru sydd wedi croesi'r Iwerydd a llwyddo yn y campau yma draw yn America a Chanada?,welsh,Who from Wales has crossed over the Atlantic and succeeded in America and Canada?
"Mae pêl-droed Americanaidd, pêl fas, pêl-fasged a hoci iâ yn cael eu gweld fel y chwaraeon nodweddiadol yng Ngogledd America.",welsh,"American football, baseball, basketball and ice hockey are seen as the typical sports of North America."
Dywedodd Heddlu Dyfed-Powys y bu farw'r dyn yn y fan a'r lle wedi iddo gael ei daro gan gar Renault Clio coch.,welsh,Dyfed-Powys police said that the man died at the scene after being hit by a red Renault Clio.
Dyn wedi marw ar ôl cael ei daro gan gar ym Mhowys.,welsh,A man has died after being hit by a car in Powys.
Rydyn ni'n gweld plant gydag ymddygiad heriol achos bod ganddyn nhw anawsterau dysgu yn fwy tebygol o gael eu gwahardd.,welsh,We see that children with bad behaviour due to their learning difficulties are more likely to get excluded.
"'Mae rhai ysgolion yn well nag eraill am gynnig cymorth bugeiliol i blant,' meddai.",welsh,"'Some schools are better at providing pastoral support to children', he said."
"'Mae rhai ysgolion yn well nag eraill am gynnig cymorth bugeiliol i blant,' meddai.",welsh,"'Some schools are better at providing pastoral support to children', she said."
Dechreuodd ymddygiad mab Liz waethygu pan ddechreuodd yn yr ysgol uwchradd.,welsh,Liz's son's behaviour started to deteriorate when he started secondary school.
"Yn ôl un arbenigwr mae'r profiad yn gallu bod yn ""sioc anferth"" i deuluoedd.",welsh,"According to an expert, the experience can be a 'huge shock' to families."
Mae yna alw am fwy o gymorth i deuluoedd pan mae plentyn yn cael ei wahardd o'r ysgol.,welsh,There is a call for more support for families when their child is excluded from school.
Wnes i ddim darllen llawer o lyfrau wythnos diwetha.,welsh,I read few books last week.
Yfedodd hi ysgytlaeth protein.,welsh,She took a protein shake.
Rhaid i ni dilyn Tom.,welsh,We need to follow Tom.
"Ddydd Sul, fyddwn ni ddim yn bwyta adref.",welsh,"On Sunday, we won't be eating at home."
Arosodd Sami i Layla yn ei fflat.,welsh,Sami waited for Layla in her apartment.
Dw i'n meddwl bod rhaid i Tom hynny.,welsh,I think that Tom had to do that.
Dw i'n bwyta popeth.,welsh,I eat everything.
Rhaid i Tom yn aros.,welsh,Tom has to stay.
Y ceffyl hwnnw yn ddrud iawn.,welsh,That horse is very expensive.
Dywedodd Mary mae hi'n iach.,welsh,Mary said she's healthy.
Gwybododd Mary ddim ble roedd ei phen.,welsh,Mary didn't know where her pen was.
Mae Sami ddim yn berson creadigol.,welsh,Sami is not a creative person.
Mae'r milwyr yn gwisgo helmedau haearn.,welsh,The soldiers are wearing iron helmets.
Mae gen i gleis yn fy mraich.,welsh,I have a bruise on my arm.
Dwi'n gallu siarad gyda ti am eiliad?,welsh,May I speak with you for a moment?
Gwnaeth hi ei gwisg Calan Gaeaf ei hun.,welsh,Mary made her own Halloween costume.
"Dw i ddim yn gwybod sut i wneud hynny, ond bydda i'n ceisio.",welsh,"I don't know how to do that, but I'll try."
Gwisgodd Sami jîns.,welsh,Sami wore jeans.
Bydda i'n mynd i adael ysgol.,welsh,I'm going to leave school.
Mae Layla ddim yn dy cariad.,welsh,Layla is not your girlfriend.
Addawodd hi bydd hi'n dweud ni.,welsh,She promised that she would tell us.
Pam wyt ti'n casau Tom cymaint?,welsh,Why is it that you hate Tom so much?
Mae'n enw slafaidd.,welsh,It's a Slavic name.
Nofion Tom a Mary yn y llyn rhewllyd.,welsh,Tom and Mary swam in the freezing lake.
Mae Tom eisiau prynu ceffyl.,welsh,Tom wants to buy a house.
Mae Mayuko yw gweld i bod dig.,welsh,Mayuko looks cross.
Dw i'n wedi colli'r allwedd.,welsh,I have lost the key.
Rhaid i hi ei helpu.,welsh,She needs to help him.
Weithiau rwyt ti'n fy synnu.,welsh,Sometimes you surprise me.
Dw i eisiau mynd i Paris i astudio celf.,welsh,I wish to go to Paris to study art.
Helpais i Tom i lenwi'r ffurflen gais.,welsh,I helped Tom fill out the application form.
Beth mae Tom yn gwneud?,welsh,What's Tom doing?
"Un, dau, tri, pedwar, pump, chwech, saith, wyth, naw, deg.",welsh,"One, two, three, four, five, six, seven, eight, nine, ten."
Mae Mennad eisiau dweud rhywbeth.,welsh,Mennad wants to say something.
Mae Mennad yn newydd yma.,welsh,Mennad is new here.
Deintydd Baya ydy Mennad.,welsh,Mennad is Baya's dentist.
Daeth Mennad i'r twrnament.,welsh,Mennad came to the tournament.
Mae Mennad angen dychwelyd i'r ysgol.,welsh,Mennad needs to go back to school.
Mae Mennad yn gallu gyrru tryc.,welsh,Mennad can drive a truck.
Gwnaeth Mennad de.,welsh,Mennad made some tea.
Mae Mennad yn brysur yn y dosbarth.,welsh,Mennad is busy in class.
Mae'n rhaid i ni geisio'n galetach.,welsh,We've got to try harder.
Mae Tom a Mair ill dau'n siarad Ffrangeg yn rhugl.,welsh,Both Tom and Mary speak French fluently.
Dw i'n gwybod tipyn bach o Ffrangeg yn barod.,welsh,I already know some French.
Dw i'n meddwl fy mod i'n rhugl yn y Ffrangeg.,welsh,I think that I'm fluent in French.
Gall Mennad esbonio.,welsh,Mennad can explain.
Roedd hynny ar y newyddion.,welsh,That was on the news.
Rydym yn gwylio.,welsh,We're watching.
Gwyliwn.,welsh,We're watching.
Croeso,welsh,Welcome.
Mae Tom yn byw yng Nghymru.,welsh,Tom lives in Wales.
Tá Tomás ina chónaí sa Bhreatain Bheag.,welsh,Tom lives in Wales.
"Yng Nghymru, mae gennym ddywediad.",welsh,"In Wales, we have a saying."
Mae clefyd y gwair arnaf i.,welsh,I have hay fever.
Da bo chi.,welsh,Goodbye.
Da bo chi!,welsh,Goodbye!
Mae’n rhaid iddo fynd at y deintydd heddiw.,welsh,He has to go to the dentist today.
Sawl plentyn sy’ gen ti?,welsh,How many children do you have?
Mae’n rhaid i ni adael ar ddiwedd y mis.,welsh,We have to leave at the end of the month.
Roedd yn ddiwrnod braf ddoe.,welsh,It was a lovely day yesterday.
Mae’r Fanaweg yn hawdd iawn!,welsh,Manx is really easy!
Mae dy fam yn ifanc iawn.,welsh,Your mother is very young.
Mae Tom yn ein helpu efo hynny.,welsh,Tom is helping us with that.
Mae fy ffrind gorau’n dod o Gymru.,welsh,My best friend is Welsh.
Mae’n enw Cymreig.,welsh,It's a Welsh name.
Cyhoeddir llawer o lyfrau Cymraeg bob blwyddyn.,welsh,Many Welsh books are published every year.
"Mae Cernyweg, Cymraeg a Llydaweg yn ieithoedd Celtaidd.",welsh,"Cornish, Welsh and Breton are Celtic languages."
Dw i wedi dysgu fy mharot i siarad Cymraeg.,welsh,I've taught my parrot to speak Welsh.
Mae’r Gymraeg yn iaith swyddogol yng Nghymru ac yn Chubut.,welsh,Welsh is an official language in Wales and Chubut.
Mae Cymraeg yn iaith anodd iawn i mi.,welsh,Welsh is a very difficult language for me.
Dw i’n deall Cymraeg ond dw i ddim yn medru ei siarad.,welsh,"I understand Welsh, but I can't speak it."
Y gwir ydy mod i’n dod o Gymru ond dw i’n byw ym Mryste.,welsh,I am actually Welsh but I am living in Bristol.
Mae orgraff y Gymraeg fel bod llawer o eiriau Cymraeg (fel “ffwrdd” a “gyflwynwyd”) yn arddangos i siaradwyr ieithoedd eraill i beidio cynnwys unrhyw gytseiniaid.,welsh,"Welsh orthography is such that many Welsh words (such as ""ffwrdd"" and ""gyflwynwyd"") appear to speakers of other languages to consist entirely of consonants."
"Mae Aaron James Ramsey (ganwyd 26 Rhagfyr 1990) yn bêl-droediwr proffesiynol o Gynru sy’n chwarae yng nghanol cae i glwb Serie A, Juventus, a thîm cenedlaethol Cymru.",welsh,Aaron James Ramsey (born 26 December 1990) is a Welsh professional footballer who plays as a midfielder for Premier League club Arsenal and the Wales national team.
Mae o'n ffrind i mi.,welsh,He is my friend.
Wyt ti'n deall?,welsh,Do you understand?
Ydych chi'n deall?,welsh,Do you understand?
Neb ond Tom wnaeth hynny.,welsh,Nobody but Tom did that.
Mae gan Tom bentwr o waith i'w wneud.,welsh,Tom's got a tremendous amount of work to do.
Dw i'n meddwl bod Tom yn byw ym Moston pan oedd o yn yr ysgol uwchradd.,welsh,I think that Tom lived in Boston when he was in high school.
Dydyn ni ddim wedi troi stôf ymlaen.,welsh,We haven't turned a stove on.
Diolch am fynd â nhw i bysgota.,welsh,Thanks for taking them fishing.
Doedd Tom ddim eisiau bod yn fferyllydd.,welsh,Tom didn't want to be a pharmacist.
Dydy Mennad byth yn siarad am ei hiselder.,welsh,Mennad never talks about his depression.
Dw i wedi eu lleoli.,welsh,I've located them.
Galwodd Mari i ddweyd na fyddai hi yn ôl erbyn yfory.,welsh,Mary called to say she wouldn't be back till tomorrow.
Dywedodd Tom ei fod yn aros am Mari.,welsh,Tom says he's waiting for Mary.
Dw i'n sicr bod Tom yn euog.,welsh,I'm convinced Tom is guilty.
Wyt ti'n meddwl bod Tom dal yn dlawd?,welsh,Do you think Tom is still poor?
Dydw i ddim yn meddwl bydd Tom byth yn medru canu cystal â Mari.,welsh,I don't think Tom will ever be able to sing as well as Mary.
"'Roeddet ti'n iawn, hefyd.",welsh,"You were right, too."
Efallai gawn ni brynu un newydd iddi hi.,welsh,Maybe we can buy her a new one.
Mae Melanie yn meddwl bod y sefyllfa'n wael iawn.,welsh,Melanie thinks that the situation is very bad.
Ychwanegais lun a gobeithio dy fod ti'n ei weld yn addas.,welsh,I added a picture and hope that you find it appropriate.
"Mae gan dy draethawd ambell i gamgymeriad, ond ar y cyfan mae'n dda iawn.",welsh,"Your essay has some mistakes, but as a whole it is very good."
Daeth o hyd i focs o dan y bwrdd.,welsh,He found the box under the table.
Mae gennym ddigon o ddŵr.,welsh,We have water enough.
Dywedodd Tom a Mari wrthyf eu bod nhw'n sengl.,welsh,Tom and Mary told me that they were single.
'Roedd Sami yn gyrru Beamer du.,welsh,Sami drove a black Beamer.
